Px	Sensitivity	Additional multiplier
1	0	1
2	0	1
3	0	1
4	0	1
5	0	1
6	0	1
7	0	1
8	0	1
9	0	1
10	0	1
11	0	1
12	0	1
13	0	1
14	0	1
15	0	1
16	0	1
17	0	1
18	0	1
19	0	1
20	0	1
21	0	1
22	0	1
23	0	1
24	0	1
25	0	1
26	0	1
27	0	1
28	0	1
29	0	1
30	0	1
31	0	1
32	0	1
33	0	1
34	0	1
35	0	1
36	0	1
37	0	1
38	0	1
39	0	1
40	0	1
41	0	1
42	0	1
43	0	1
44	0	1
45	0	1
46	0	1
47	0	1
48	0	1
49	0	1
50	0	1
51	0	1
52	0	1
53	0	1
54	0	1
55	0	1
56	0	1
57	0	1
58	0	1
59	0	1
60	0	1
61	0	1
62	0	1
63	0	1
64	0	1
65	0	1
66	0	1
67	0	1
68	0	1
69	0	1
70	0	1
71	0	1
72	0	1
73	0	1
74	0	1
75	0	1
76	0	1
77	0	1
78	0	1
79	0	1
80	0	1
81	0	1
82	0	1
83	0	1
84	0	1
85	0	1
86	0	1
87	0	1
88	0	1
89	0	1
90	0	1
91	0	1
92	0	1
93	0	1
94	0	1
95	0	1
96	0	1
97	0	1
98	0	1
99	0	1
100	0	1
101	0	1
102	0	1
103	0	1
104	0	1
105	0	1
106	0	1
107	0	1
108	0	1
109	0	1
110	0	1
111	0	1
112	0	1
113	0	1
114	0	1
115	0	1
116	0	1
117	0	1
118	0	1
119	0	1
120	0	1
121	0	1
122	0	1
123	0	1
124	0	1
125	0	1
126	0	1
127	0	1
128	0	1
129	0	1
130	0	1
131	0	1
132	0	1
133	0	1
134	0	1
135	0	1
136	0	1
137	0	1
138	0	1
139	0	1
140	0	1
141	0	1
142	0	1
143	0	1
144	0	1
145	0	1
146	0	1
147	0	1
148	0	1
149	0	1
150	0	1
151	0	1
152	0	1
153	0	1
154	0	1
155	0	1
156	0	1
157	0	1
158	0	1
159	0	1
160	0	1
161	0	1
162	0	1
163	0	1
164	0	1
165	0	1
166	0	1
167	0	1
168	0	1
169	0	1
170	0	1
171	0	1
172	0	1
173	0	1
174	0	1
175	0	1
176	0	1
177	0	1
178	0	1
179	0	1
180	0	1
181	0	1
182	0	1
183	0	1
184	0	1
185	0	1
186	0	1
187	0	1
188	0	1
189	0	1
190	0	1
191	0	1
192	0	1
193	0	1
194	0	1
195	0	1
196	0	1
197	0	1
198	0	1
199	0	1
200	0	1
201	0	1
202	0	1
203	0	1
204	0	1
205	0	1
206	0	1
207	0	1
208	0	1
209	0	1
210	0	1
211	0	1
212	0	1
213	0	1
214	0	1
215	0	1
216	0	1
217	0	1
218	0	1
219	0	1
220	0	1
221	0	1
222	0	1
223	0	1
224	0	1
225	0	1
226	0	1
227	0	1
228	0	1
229	0	1
230	0	1
231	0	1
232	0	1
233	0	1
234	0	1
235	0	1
236	0	1
237	0	1
238	0	1
239	0	1
240	0	1
241	0	1
242	0	1
243	0	1
244	0	1
245	0	1
246	0	1
247	0	1
248	0	1
249	0	1
250	0	1
251	0	1
252	0	1
253	0	1
254	0	1
255	0	1
256	0	1
257	0	1
258	0	1
259	0	1
260	0	1
261	0	1
262	0	1
263	0	1
264	0	1
265	0	1
266	0	1
267	0	1
268	0	1
269	0	1
270	0	1
271	0	1
272	0	1
273	0	1
274	0	1
275	0	1
276	0	1
277	0	1
278	0	1
279	0	1
280	0	1
281	0	1
282	0	1
283	0	1
284	0	1
285	0	1
286	0	1
287	0	1
288	0	1
289	0	1
290	0	1
291	0	1
292	0	1
293	0	1
294	0	1
295	0	1
296	0	1
297	0	1
298	0	1
299	0	1
300	0	1
301	0	1
302	0	1
303	0	1
304	0	1
305	0	1
306	0	1
307	0	1
308	0	1
309	0	1
310	0	1
311	0	1
312	0	1
313	0	1
314	0	1
315	0	1
316	0	1
317	0	1
318	0	1
319	0	1
320	0	1
321	0	1
322	0	1
323	0	1
324	0	1
325	0	1
326	0	1
327	0	1
328	0	1
329	0	1
330	0	1
331	0	1
332	0	1
333	0	1
334	0	1
335	0	1
336	0	1
337	0	1
338	0	1
339	0	1
340	0	1
341	0	1
342	0	1
343	0	1
344	0	1
345	0	1
346	0	1
347	0	1
348	0	1
349	0	1
350	0	1
351	0	1
352	0	1
353	0	1
354	0	1
355	0	1
356	0	1
357	0	1
358	0	1
359	0	1
360	0	1
361	0	1
362	0	1
363	0	1
364	0	1
365	0	1
366	0	1
367	0	1
368	0	1
369	0	1
370	0	1
371	0	1
372	0	1
373	0	1
374	0	1
375	0	1
376	0	1
377	0	1
378	0	1
379	0	1
380	0	1
381	0	1
382	0	1
383	0	1
384	0	1
385	0	1
386	0	1
387	0	1
388	0	1
389	0	1
390	0	1
391	0	1
392	0	1
393	0	1
394	0	1
395	0	1
396	0	1
397	0	1
398	0	1
399	0	1
400	0	1
401	0	1
402	0	1
403	0	1
404	0	1
405	0	1
406	0	1
407	0	1
408	0	1
409	0	1
410	20069.2649686008	1
411	19627.7383171853	1
412	19133.8137247607	1
413	18565.4817705119	1
414	18176.7508607482	1
415	17881.2042032877	1
416	17556.1459547773	1
417	17326.2231909362	1
418	17111.5812974303	1
419	16876.0368347437	1
420	16602.0686195918	1
421	16349.4330176482	1
422	16142.0499247341	1
423	15823.988189247	1
424	15697.4972993156	1
425	15398.4894124731	1
426	15445.7104016926	1
427	15252.8827805873	1
428	15177.1790745443	1
429	15070.3265856039	1
430	14858.0134993361	1
431	14788.1603402679	1
432	14739.4377433581	1
433	14668.4338353204	1
434	14623.2040695419	1
435	14494.5317407895	1
436	14390.0685758547	1
437	14255.5935911023	1
438	14143.0969225861	1
439	14101.4451533492	1
440	14116.6623986078	1
441	14220.4532656836	1
442	14239.6301129555	1
443	14204.0025427096	1
444	14320.0593816204	1
445	14329.0572425411	1
446	14443.0683478622	1
447	14289.1898202373	1
448	14242.7495654526	1
449	14158.8384352487	1
450	14128.4445604825	1
451	14243.3410135727	1
452	14312.3992641351	1
453	14315.9750663385	1
454	14278.4330216062	1
455	14260.3995093223	1
456	14281.1478326251	1
457	14299.1730246608	1
458	14384.6640414715	1
459	14409.2070518789	1
460	14339.0909906994	1
461	14304.7599048651	1
462	14156.4093363453	1
463	14082.9809407894	1
464	14035.8314942074	1
465	13888.8901152224	1
466	13842.5550847313	1
467	13748.7700495207	1
468	13678.5123633206	1
469	13748.1830513243	1
470	13839.2579342654	1
471	13797.3542228451	1
472	13678.4554515962	1
473	13592.4219304724	1
474	13533.0166535247	1
475	13465.2741005686	1
476	13475.8975931102	1
477	13475.0589821619	1
478	13432.9531386925	1
479	13302.581114236	1
480	13270.6497805801	1
481	13317.2119625723	1
482	13340.9629147576	1
483	13416.6161941866	1
484	13382.8661728399	1
485	13434.8884437247	1
486	13414.4729802675	1
487	13363.9028412954	1
488	13256.5472909676	1
489	13295.3459673465	1
490	13256.4263294516	1
491	13196.8409137656	1
492	13220.1352979172	1
493	13190.1978163945	1
494	13209.3421258091	1
495	13197.4303723154	1
496	13192.0600216829	1
497	13104.7185782416	1
498	13028.0578051688	1
499	13025.5754338953	1
500	13031.0763877929	1
501	12911.1986460822	1
502	12747.431209449	1
503	12687.3494697985	1
504	12603.0340818126	1
505	12625.7465162591	1
506	12532.9254171869	1
507	12553.9372125603	1
508	12575.2268119074	1
509	12598.0431471894	1
510	12527.2168841813	1
511	12478.8547341126	1
512	12423.0416223059	1
513	12347.435772655	1
514	12332.0491124157	1
515	12328.7069374222	1
516	12332.8938463069	1
517	12411.962668992	1
518	12472.6178072649	1
519	12556.4157381086	1
520	12613.319811086	1
521	12620.8538676583	1
522	12643.5426535213	1
523	12652.9743847247	1
524	12631.8139756871	1
525	12636.6169696098	1
526	12656.1410312308	1
527	12666.7416405768	1
528	12609.1861816174	1
529	12570.7179522157	1
530	12531.7877280067	1
531	12525.0632389941	1
532	12542.9989394591	1
533	12586.5838986111	1
