Wavelength (m),Identificator,Function to fit,To fit (1/0),Fit priority (1 is first),Max position shift (m),Max line fwhm (m),Max influence radius (m),Linked variables
6.513964E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.515275E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.517227E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.517299E-07,,VoigtApparatus,1,,9.00E-12,1.25E-10,2.00E-10,
6.518366E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.519830E-07,Mo1,VoigtApparatus,1,,9.00E-12,1.25E-10,3.00E-10,$apparatus = 0.0467081e-9; $Mo1_width_var = $apparatus + (1.25e-10 - $apparatus) / 2 * sin(~1.5); shape = $Mo1_width_var
6.521485E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.521831E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.523042E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.523605E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.526048E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.526440E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.526804E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.527371E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.529631E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.531710E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.532380E-07,W1,VoigtApparatus,1,,9.00E-12,1.25E-10,3.00E-10,$W1_width_var = $apparatus + (1.25e-10 - $apparatus) / 2 * sin(~1.5); shape = $W1_width_var
6.533549E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.533972E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.535087E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.536430E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.536509E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.537628E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.538300E-07,,VoigtApparatus,1,,9.00E-12,1.25E-10,2.00E-10,
6.539689E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.540552E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.541273E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.541309E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.543188E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.543294E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.544678E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.544719E-07,Mo_unknown,VoigtApparatus,1,,9.00E-12,1.25E-10,2.00E-10,shape = $Mo1_width_var
6.546537E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.547883E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.548856E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.549534E-07,,VoigtApparatus,1,,9.00E-12,1.25E-10,2.00E-10,
6.550911E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.552848E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.553450E-07,Mo_unknown,VoigtApparatus,1,,9.00E-12,1.25E-10,2.00E-10,shape = $Mo1_width_var
6.553997E-07,,VoigtApparatus,1,,9.00E-12,1.25E-10,2.00E-10,
6.554302E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.556212E-07,Mo_unknown,VoigtApparatus,1,,9.00E-12,1.25E-10,2.00E-10,shape = $Mo1_width_var
6.558610E-07,Mo_unknown,VoigtApparatus,1,,9.00E-12,1.25E-10,2.00E-10,shape = $Mo1_width_var
6.561010E-07,D,VoigtFWHM,1,,9.00E-12,3.00E-10,1.20E-09,
6.561054E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.561372E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.562800E-07,H,VoigtFWHM,1,,9.00E-12,3.00E-10,1.20E-09,center = %D_656101.center + 0.179e-9; fwhm = %D_656101.fwhm; shape = %D_656101.shape
6.562822E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.564466E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.565807E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.567062E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.567628E-07,,VoigtApparatus,1,,9.00E-12,1.25E-10,2.00E-10,
6.568075E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
6.569626E-07,,VoigtApparatus,0,,9.00E-12,1.25E-10,2.00E-10,
