Measured unit,Wavelength (m),Sensitivity,Additional multiplier,Additional additive
1,6.51312E-07,0.000418011,,
2,6.51322E-07,0.000418031,,
3,6.51331E-07,0.000418155,,
4,6.5134E-07,0.000418154,,
5,6.5135E-07,0.000417998,,
6,6.51359E-07,0.000418082,,
7,6.51369E-07,0.00041787,,
8,6.51378E-07,0.000417569,,
9,6.51388E-07,0.000417729,,
10,6.51397E-07,0.000417946,,
11,6.51407E-07,0.000417882,,
12,6.51416E-07,0.000417512,,
13,6.51425E-07,0.000417314,,
14,6.51435E-07,0.000417421,,
15,6.51444E-07,0.000417363,,
16,6.51454E-07,0.000417646,,
17,6.51463E-07,0.000417859,,
18,6.51473E-07,0.000417755,,
19,6.51482E-07,0.000417679,,
20,6.51491E-07,0.000418067,,
21,6.51501E-07,0.000418496,,
22,6.5151E-07,0.000418919,,
23,6.5152E-07,0.00041841,,
24,6.51529E-07,0.000418366,,
25,6.51539E-07,0.000417875,,
26,6.51548E-07,0.000417365,,
27,6.51557E-07,0.000417299,,
28,6.51567E-07,0.000416859,,
29,6.51576E-07,0.000416048,,
30,6.51586E-07,0.00041573,,
31,6.51595E-07,0.000415432,,
32,6.51605E-07,0.000416653,,
33,6.51614E-07,0.000416997,,
34,6.51624E-07,0.000417313,,
35,6.51633E-07,0.000417933,,
36,6.51642E-07,0.000417861,,
37,6.51652E-07,0.000418217,,
38,6.51661E-07,0.000418616,,
39,6.51671E-07,0.000418612,,
40,6.5168E-07,0.000418596,,
41,6.5169E-07,0.000417643,,
42,6.51699E-07,0.000417467,,
43,6.51708E-07,0.000417238,,
44,6.51718E-07,0.000417149,,
45,6.51727E-07,0.000417298,,
46,6.51737E-07,0.000417316,,
47,6.51746E-07,0.000417794,,
48,6.51756E-07,0.000417929,,
49,6.51765E-07,0.000418056,,
50,6.51774E-07,0.000418357,,
51,6.51784E-07,0.000418305,,
52,6.51793E-07,0.000418558,,
53,6.51803E-07,0.000418301,,
54,6.51812E-07,0.000418312,,
55,6.51822E-07,0.000418052,,
56,6.51831E-07,0.000417395,,
57,6.51841E-07,0.000417016,,
58,6.5185E-07,0.000417027,,
59,6.51859E-07,0.000417064,,
60,6.51869E-07,0.000417168,,
61,6.51878E-07,0.000417499,,
62,6.51888E-07,0.000417996,,
63,6.51897E-07,0.000418034,,
64,6.51907E-07,0.000418364,,
65,6.51916E-07,0.000419089,,
66,6.51925E-07,0.000419855,,
67,6.51935E-07,0.000419589,,
68,6.51944E-07,0.000419763,,
69,6.51954E-07,0.000419812,,
70,6.51963E-07,0.000419756,,
71,6.51973E-07,0.000419573,,
72,6.51982E-07,0.000419517,,
73,6.51991E-07,0.00041916,,
74,6.52001E-07,0.000418585,,
75,6.5201E-07,0.000418154,,
76,6.5202E-07,0.000418104,,
77,6.52029E-07,0.000417781,,
78,6.52039E-07,0.000417377,,
79,6.52048E-07,0.000417044,,
80,6.52058E-07,0.000416439,,
81,6.52067E-07,0.000416151,,
82,6.52076E-07,0.000416504,,
83,6.52086E-07,0.000416463,,
84,6.52095E-07,0.0004167,,
85,6.52105E-07,0.000417048,,
86,6.52114E-07,0.000417002,,
87,6.52124E-07,0.000417272,,
88,6.52133E-07,0.000417418,,
89,6.52142E-07,0.000417933,,
90,6.52152E-07,0.000418011,,
91,6.52161E-07,0.000417876,,
92,6.52171E-07,0.000418063,,
93,6.5218E-07,0.000417822,,
94,6.5219E-07,0.000417876,,
95,6.52199E-07,0.000418032,,
96,6.52208E-07,0.000417926,,
97,6.52218E-07,0.000417834,,
98,6.52227E-07,0.00041771,,
99,6.52237E-07,0.000417782,,
100,6.52246E-07,0.000417468,,
101,6.52256E-07,0.000417081,,
102,6.52265E-07,0.000417353,,
103,6.52275E-07,0.000417614,,
104,6.52284E-07,0.000417963,,
105,6.52293E-07,0.000418033,,
106,6.52303E-07,0.000418065,,
107,6.52312E-07,0.000417936,,
108,6.52322E-07,0.000418319,,
109,6.52331E-07,0.000418951,,
110,6.52341E-07,0.000419635,,
111,6.5235E-07,0.000419906,,
112,6.52359E-07,0.000420098,,
113,6.52369E-07,0.000420327,,
114,6.52378E-07,0.000420664,,
115,6.52388E-07,0.000420826,,
116,6.52397E-07,0.000421322,,
117,6.52407E-07,0.00042137,,
118,6.52416E-07,0.000421093,,
119,6.52425E-07,0.000420445,,
120,6.52435E-07,0.000420118,,
121,6.52444E-07,0.00041956,,
122,6.52454E-07,0.000418788,,
123,6.52463E-07,0.000418253,,
124,6.52473E-07,0.000417674,,
125,6.52482E-07,0.000417207,,
126,6.52492E-07,0.00041733,,
127,6.52501E-07,0.00041755,,
128,6.5251E-07,0.000418177,,
129,6.5252E-07,0.000418069,,
130,6.52529E-07,0.000417833,,
131,6.52539E-07,0.000417954,,
132,6.52548E-07,0.000417897,,
133,6.52558E-07,0.000418112,,
134,6.52567E-07,0.000418022,,
135,6.52576E-07,0.000417655,,
136,6.52586E-07,0.000417225,,
137,6.52595E-07,0.000416478,,
138,6.52605E-07,0.000416424,,
139,6.52614E-07,0.000416123,,
140,6.52624E-07,0.000415933,,
141,6.52633E-07,0.000416021,,
142,6.52642E-07,0.00041611,,
143,6.52652E-07,0.000416316,,
144,6.52661E-07,0.000416344,,
