Wavelength (m),Identificator,Function to fit,To fit (1/0),Fit priority (1 is first),Max position shift (m),Max line fwhm (m),Max influence radius (m),Linked variables
3.002485E-07,Ni1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.012001E-07,Ni1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.050816E-07,Ni1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.076050E-07,Ni2,VoigtFWHM,,,3.00E-11,2.00E-10,4.00E-10,
3.092730E-07,Na2,Voigt,,,3.00E-11,2.00E-10,4.00E-10,
3.094880E-07,Be2_ghost,VoigtFWHM,,,4.00E-11,5.00E-10,1.50E-09,
3.101557E-07,Ni1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.118640E-07,Cr2,VoigtFWHM,,,3.00E-11,2.00E-10,4.00E-10,
3.120360E-07,Cr2,VoigtFWHM,,,3.00E-11,2.00E-10,4.00E-10,
3.125020E-07,_,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.128670E-07,Cr2,VoigtFWHM,,,3.00E-11,2.00E-10,4.00E-10,
3.130422E-07,Be2,VoigtFWHM,,1,5.00E-12,5.00E-10,2.00E-09,
3.131067E-07,Be2,VoigtFWHM,,1,5.00E-12,5.00E-10,2.00E-09,center = %Be2_313042.center + 0.064e-9; fwhm = %Be2_313042.fwhm; shape = %Be2_313042.shape
3.132594E-07,Mo1,VoigtApparatus,,,5.00E-12,1.00E-10,4.00E-10,
3.134104E-07,Ni1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.136690E-07,Cr2,VoigtFWHM,,,3.00E-11,2.00E-10,4.00E-10,
3.137190E-07,_,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.149880E-07,W2,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.158167E-07,Mo1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.160030E-07,W2,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.165540E-07,_,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.168320E-07,Be2_ghost,VoigtFWHM,,,4.00E-11,5.00E-10,2.00E-09,
3.168920E-07,_,VoigtApparatus,0,,3.00E-11,2.00E-10,4.00E-10,
3.170344E-07,Mo1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.175970E-07,W2,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.177170E-07,W2,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.189200E-07,W2,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.193979E-07,Mo1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
3.207203E-07,W1,Gaussian,,,3.00E-11,2.00E-10,4.00E-10,$W1_hwhm_var = (4.4e-11 + 2e-10) / 2 + (2e-10 - 4.4e-11) / 2 * sin(~1.5); hwhm = $W1_hwhm_var
3.208838E-07,Mo1,VoigtApparatus,,,3.00E-11,2.00E-10,4.00E-10,
