Wavelength (m),To fit (1/0),Fit priority (1 is first),function to fit (0-Voigt; 1-Gaussian; 2-Lorentzian),Max position shift (m),Max line fwhm (m),Chemical element,Ionization number (1 is neutrals),E_k (eV),log(A_ki*g_k/?),line index
3.002485E-07,1,10,VoigtApparatus,3E-11,2E-10,Ni1,,,,
3.012001E-07,1,10,VoigtApparatus,3E-11,2E-10,Ni1,,,,
3.050816E-07,1,10,VoigtApparatus,3E-11,2E-10,Ni1,,,,
3.076050E-07,1,10,VoigtFWHM,3E-11,5.5E-10,Ni2,,,,
3.092730E-07,1,10,VoigtApparatus,3E-11,2E-10,Na2,,,,
3.094880E-07,1,10,VoigtFWHM,4E-11,5E-10,Be2_ghost,,,,
3.101557E-07,1,10,VoigtApparatus,3E-11,2E-10,Ni1,,,,
3.118640E-07,1,10,VoigtFWHM,3E-11,5.5E-10,Cr2,,,,
3.120360E-07,1,10,VoigtFWHM,3E-11,5.5E-10,Cr2,,,,
3.125020E-07,1,10,VoigtApparatus,3E-11,2E-10,_,,,,
3.128670E-07,1,10,VoigtFWHM,3E-11,5.5E-10,Cr2,,,,
3.130422E-07,1,1,VoigtFWHM,5E-12,5E-10,Be2,,,,
3.131067E-07,1,1,VoigtFWHM,5E-12,5E-10,Be2,,,,
3.132594E-07,1,10,VoigtApparatus,5E-12,1E-10,Mo1,,,,
3.134104E-07,1,10,VoigtApparatus,3E-11,2E-10,Ni1,,,,
3.136690E-07,1,10,VoigtFWHM,3E-11,5.5E-10,Cr2,,,,
3.137190E-07,1,10,VoigtApparatus,3E-11,2E-10,_,,,,
3.149880E-07,1,10,VoigtApparatus,3E-11,2E-10,W2,,,,
3.158167E-07,1,10,VoigtApparatus,3E-11,2E-10,Mo1,,,,
3.160030E-07,1,10,VoigtApparatus,3E-11,2E-10,W2,,,,
3.165540E-07,1,10,VoigtApparatus,3E-11,2E-10,_,,,,
3.168320E-07,1,10,VoigtFWHM,4E-11,5E-10,Be2_ghost,,,,
3.168920E-07,0,10,VoigtApparatus,3E-11,2E-10,_,,,,
3.170344E-07,1,10,VoigtApparatus,3E-11,2E-10,Mo1,,,,
3.175970E-07,1,10,VoigtApparatus,3E-11,2E-10,W2,,,,
3.177170E-07,1,10,VoigtApparatus,3E-11,2E-10,W2,,,,
3.189200E-07,1,10,VoigtApparatus,3E-11,2E-10,W2,,,,
3.193979E-07,1,10,VoigtApparatus,3E-11,2E-10,Mo1,,,,
3.207203E-07,1,10,VoigtApparatus,3E-11,2E-10,W1,,,,
3.208838E-07,1,10,VoigtApparatus,3E-11,2E-10,Mo1,,,,
3.215560E-07,1,10,VoigtApparatus,3E-11,2E-10,W1,,,,
3.215590E-07,0,10,VoigtApparatus,3E-11,2E-10,W2,,,,
3.223160E-07,1,10,VoigtFWHM,3E-11,5.5E-10,Ni2,,,,
3.247663E-07,1,10,VoigtFWHM,4E-11,5E-10,Be1_ghost,,,,
3.273780E-07,1,10,VoigtApparatus,3E-11,2E-10,_,,,,
3.280517E-07,1,10,VoigtFWHM,4E-11,5E-10,Be1_ghost,,,,
3.285600E-07,1,10,VoigtApparatus,3E-11,2E-10,Na2,,,,
3.297600E-07,1,10,VoigtFWHM,3E-11,5.5E-10,Ni2,,,,
3.301050E-07,1,10,VoigtApparatus,3E-11,2E-10,_,,,,
3.321340E-07,1,10,VoigtFWHM,4E-11,5E-10,Be1,,,,
3.322840E-07,0,10,VoigtApparatus,3E-11,2E-10,_,,,,
3.324070E-07,1,10,VoigtApparatus,3E-11,2E-10,_,,,,
3.326290E-07,1,10,VoigtApparatus,3E-11,2E-10,_,,,,
