Measured unit,Wavelength (m)
198.7645107,198.7645107e-9
198.771519,198.771519e-9
198.778527,198.778527e-9
198.7855345,198.7855345e-9
198.7925417,198.7925417e-9
198.7995485,198.7995485e-9
198.806555,198.806555e-9
198.8135611,198.8135611e-9
198.8205668,198.8205668e-9
198.8275721,198.8275721e-9
198.8345771,198.8345771e-9
198.8415816,198.8415816e-9
198.8485859,198.8485859e-9
198.8555897,198.8555897e-9
198.8625932,198.8625932e-9
198.8695963,198.8695963e-9
198.876599,198.876599e-9
198.8836014,198.8836014e-9
198.8906034,198.8906034e-9
198.897605,198.897605e-9
198.9046062,198.9046062e-9
198.9116071,198.9116071e-9
198.9186076,198.9186076e-9
198.9256077,198.9256077e-9
198.9326075,198.9326075e-9
198.9396069,198.9396069e-9
198.9466059,198.9466059e-9
198.9536045,198.9536045e-9
198.9606028,198.9606028e-9
198.9676007,198.9676007e-9
198.9745982,198.9745982e-9
198.9815954,198.9815954e-9
198.9885921,198.9885921e-9
198.9955885,198.9955885e-9
199.0025846,199.0025846e-9
199.0095802,199.0095802e-9
199.0165755,199.0165755e-9
199.0235705,199.0235705e-9
199.030565,199.030565e-9
199.0375592,199.0375592e-9
199.044553,199.044553e-9
199.0515464,199.0515464e-9
199.0585395,199.0585395e-9
199.0655322,199.0655322e-9
199.0725245,199.0725245e-9
199.0795165,199.0795165e-9
199.086508,199.086508e-9
199.0934992,199.0934992e-9
199.1004901,199.1004901e-9
199.1074805,199.1074805e-9
199.1144706,199.1144706e-9
199.1214603,199.1214603e-9
199.1284497,199.1284497e-9
199.1354387,199.1354387e-9
199.1424273,199.1424273e-9
199.1494155,199.1494155e-9
199.1564033,199.1564033e-9
199.1633908,199.1633908e-9
199.1703779,199.1703779e-9
199.1773647,199.1773647e-9
199.1843511,199.1843511e-9
199.1913371,199.1913371e-9
199.1983227,199.1983227e-9
199.2053079,199.2053079e-9
199.2122928,199.2122928e-9
199.2192773,199.2192773e-9
199.2262615,199.2262615e-9
199.2332452,199.2332452e-9
199.2402286,199.2402286e-9
199.2472117,199.2472117e-9
199.2541943,199.2541943e-9
199.2611766,199.2611766e-9
199.2681585,199.2681585e-9
199.27514,199.27514e-9
199.2821212,199.2821212e-9
199.289102,199.289102e-9
199.2960824,199.2960824e-9
199.3030625,199.3030625e-9
199.3100421,199.3100421e-9
199.3170215,199.3170215e-9
199.3240004,199.3240004e-9
199.3309789,199.3309789e-9
199.3379571,199.3379571e-9
199.344935,199.344935e-9
199.3519124,199.3519124e-9
199.3588895,199.3588895e-9
199.3658662,199.3658662e-9
199.3728425,199.3728425e-9
199.3798185,199.3798185e-9
199.3867941,199.3867941e-9
199.3937693,199.3937693e-9
199.4007441,199.4007441e-9
199.4077186,199.4077186e-9
199.4146927,199.4146927e-9
199.4216664,199.4216664e-9
199.4286398,199.4286398e-9
199.4356128,199.4356128e-9
199.4425854,199.4425854e-9
199.4495576,199.4495576e-9
199.4565295,199.4565295e-9
199.463501,199.463501e-9
199.4704721,199.4704721e-9
199.4774429,199.4774429e-9
199.4844133,199.4844133e-9
199.4913833,199.4913833e-9
199.4983529,199.4983529e-9
199.5053222,199.5053222e-9
199.5122911,199.5122911e-9
199.5192596,199.5192596e-9
199.5262277,199.5262277e-9
199.5331955,199.5331955e-9
199.5401629,199.5401629e-9
199.54713,199.54713e-9
199.5540966,199.5540966e-9
199.5610629,199.5610629e-9
199.5680288,199.5680288e-9
199.5749944,199.5749944e-9
199.5819596,199.5819596e-9
199.5889244,199.5889244e-9
199.5958888,199.5958888e-9
199.6028529,199.6028529e-9
199.6098166,199.6098166e-9
199.6167799,199.6167799e-9
199.6237428,199.6237428e-9
199.6307054,199.6307054e-9
199.6376676,199.6376676e-9
199.6446294,199.6446294e-9
199.6515909,199.6515909e-9
199.658552,199.658552e-9
199.6655127,199.6655127e-9
199.672473,199.672473e-9
199.679433,199.679433e-9
199.6863926,199.6863926e-9
199.6933518,199.6933518e-9
199.7003107,199.7003107e-9
199.7072692,199.7072692e-9
199.7142273,199.7142273e-9
199.721185,199.721185e-9
