Measured unit,Wavelength (m),Sensitivity,Additional multiplier,Additional additive
198.620826,1.98621E-07,0,1,0
198.62784,1.98628E-07,0,1,0
198.634853,1.98635E-07,0,1,0
198.641867,1.98642E-07,0,1,0
198.648879,1.98649E-07,0,1,0
198.655892,1.98656E-07,0,1,0
198.662904,1.98663E-07,0,1,0
198.669916,1.9867E-07,0,1,0
198.676928,1.98677E-07,0,1,0
198.683939,1.98684E-07,0,1,0
198.690949,1.98691E-07,0,1,0
198.69796,1.98698E-07,0,1,0
198.70497,1.98705E-07,0,1,0
198.71198,1.98712E-07,0,1,0
198.718989,1.98719E-07,0,1,0
198.725998,1.98726E-07,0,1,0
198.733006,1.98733E-07,0,1,0
198.740015,1.9874E-07,0,1,0
198.747023,1.98747E-07,0,1,0
198.75403,1.98754E-07,0,1,0
198.761037,1.98761E-07,0,1,0
198.768044,1.98768E-07,0,1,0
198.775051,1.98775E-07,0,1,0
198.782057,1.98782E-07,0,1,0
198.789062,1.98789E-07,0,1,0
198.796068,1.98796E-07,0,1,0
198.803073,1.98803E-07,0,1,0
198.810077,1.9881E-07,0,1,0
198.817082,1.98817E-07,0,1,0
198.824086,1.98824E-07,0,1,0
198.831089,1.98831E-07,0,1,0
198.838092,1.98838E-07,0,1,0
198.845095,1.98845E-07,0,1,0
198.852098,1.98852E-07,0,1,0
198.8591,1.98859E-07,0,1,0
198.866102,1.98866E-07,0,1,0
198.873103,1.98873E-07,0,1,0
198.880104,1.9888E-07,0,1,0
198.887105,1.98887E-07,0,1,0
198.894105,1.98894E-07,0,1,0
198.901105,1.98901E-07,0,1,0
198.908105,1.98908E-07,0,1,0
198.915104,1.98915E-07,0,1,0
198.922103,1.98922E-07,0,1,0
198.929101,1.98929E-07,0,1,0
198.936099,1.98936E-07,0,1,0
198.943097,1.98943E-07,0,1,0
198.950094,1.9895E-07,0,1,0
198.957092,1.98957E-07,0,1,0
198.964088,1.98964E-07,0,1,0
198.971085,1.98971E-07,0,1,0
198.978081,1.98978E-07,0,1,0
198.985076,1.98985E-07,0,1,0
198.992071,1.98992E-07,0,1,0
198.999066,1.98999E-07,0,1,0
199.006061,1.99006E-07,0,1,0
199.013055,1.99013E-07,0,1,0
199.020049,1.9902E-07,0,1,0
199.027042,1.99027E-07,0,1,0
